"","PLAYER","FIELD_GOALS_MADE","FIELD_GOALS_ATT","FREE_THROWS_MADE","FREE_THROWS_ATT","TOTAL_POINTS","OFFENSIVE_REBOUNDS","DEFENSIVE_REBOUNDS","REBOUNDS","ASSISTS","PERSONAL_FOULS","DISQUALIFICATIONS","STEALS","TURNOVERS","BLOCKED_SHOTS","THREE_POINT_MADE","THREE_POINT_ATT","PLUS_MINUS","TWO_POINT_MADE","TWO_POINT_ATT","POSITION","MINUTES_PLAYED","FGPCNT","THREEPCNT","FTPCNT","AST2TRNVR","eFGPCNT","TSPCNT","FTAPERFGA","ORBPCNT","DRBPCNT","TRBPCNT","ASTPCNT","STLPCNT","BLKPCNT","TOVPCNT","USGPCNT"
"30","Anthony Davis",9.33765632237147,18.9421028253821,5.43584993052339,7.16998610467809,24.6947660954145,2.16767021769338,8.28716998610468,10.4548402037981,1.93422880963409,2.46780917091246,0,1.30060213061603,2.01760074108384,2.08429828624363,0.583603520148217,1.8008337193145,-3.33487725798981,8.75405280222325,17.1412691060676,"PF",26.3292682926829,0.492957746478873,0.324074074074074,0.758139534883721,0.958677685950413,0.508362676056338,0.559,0.00379,0.064,0.264,0.161,0.1,0.018,0.047,0.084,0.296
"31","Anthony Morrow",5.26451612903226,12.8903225806452,1.12258064516129,1.50967741935484,14.7096774193548,0.387096774193548,2.01290322580645,2.4,0.929032258064516,2.47741935483871,0,0.851612903225807,0.658064516129032,0.193548387096774,3.05806451612903,7.89677419354839,4.33548387096774,2.20645161290323,4.99354838709677,"SG",11.3414634146341,0.408408408408408,0.387254901960784,0.743589743589744,1.41176470588235,0.527027027027027,0.543,0.00117,0.012,0.058,0.036,0.037,0.012,0.004,0.046,0.169
"32","Anthony Tolliver",3.44394618834081,8.93273542600897,0.780269058295964,1.26457399103139,10.304932735426,1.04932735426009,5.11210762331839,6.16143497757847,1.39910313901345,2.31390134529148,0,0.699551569506726,0.753363228699552,0.430493273542601,2.63677130044843,7.31838565022422,0.188340807174888,0.807174887892377,1.61434977578475,"PF",16.3170731707317,0.385542168674699,0.360294117647059,0.617021276595745,1.85714285714286,0.533132530120482,0.543,0.00142,0.031,0.161,0.093,0.056,0.01,0.009,0.074,0.124
"33","Archie Goodwin",5.69272237196766,13.6495956873315,4.20485175202156,6.24258760107817,16.3342318059299,0.873315363881402,3.71967654986523,4.59299191374663,3.8167115902965,2.71698113207547,0,0.873315363881402,3.23450134770889,0.420485175202156,0.743935309973046,3.20215633423181,-6.76010781671159,4.94878706199461,10.4474393530997,"SG",13.5731707317073,0.417061611374408,0.232323232323232,0.673575129533679,1.18,0.444312796208531,0.498,0.00457,0.026,0.115,0.069,0.172,0.012,0.01,0.165,0.232
"34","Aron Baynes",5.62771958098308,11.1394037066882,3.65511684125705,4.78646253021757,14.9105560032232,4.06124093473006,7.0781627719581,11.1394037066882,1.47945205479452,4.38033843674456,0,0.609186140209508,1.94359387590653,1.50846091861402,0,0.0580177276390008,-1.62449637389202,5.62771958098308,11.0813859790492,"C",15.1341463414634,0.505208333333333,0,0.763636363636364,0.761194029850746,0.505208333333333,0.563,0.0043,0.119,0.225,0.17,0.066,0.009,0.032,0.128,0.185
"35","Arron Afflalo",5.38175675675676,12.1469594594595,1.6722972972973,1.99155405405405,13.8192567567568,0.349662162162162,3.69425675675676,4.04391891891892,2.18918918918919,2.15878378378378,0.0152027027027027,0.380067567567568,1.24662162162162,0.152027027027027,1.38344594594595,3.61824324324324,-2.29560810810811,3.99831081081081,8.52871621621622,"SG",28.8780487804878,0.443053817271589,0.382352941176471,0.83969465648855,1.75609756097561,0.5,0.531,0.00164,0.011,0.11,0.061,0.099,0.005,0.003,0.087,0.179
"36","Austin Rivers",5.54979536152797,12.6712141882674,1.9399727148704,2.84856753069577,14.5620736698499,0.540245566166439,2.65211459754434,3.19236016371078,2.43110504774898,3.36425648021828,0.0245566166439291,1.17871759890859,1.49795361527967,0.221009549795362,1.5225102319236,4.54297407912687,-3.97817189631651,4.02728512960437,8.12824010914052,"PG",17.8780487804878,0.437984496124031,0.335135135135135,0.681034482758621,1.62295081967213,0.498062015503876,0.523,0.00225,0.017,0.079,0.048,0.106,0.016,0.005,0.097,0.194
"37","Avery Bradley",6.47318611987382,14.4652996845426,1.36277602523659,1.74605678233439,16.3958990536278,0.681388012618297,2.4416403785489,3.12302839116719,2.24290220820189,2.32807570977918,0.028391167192429,1.6608832807571,1.54731861198738,0.269716088328076,2.08675078864353,5.77760252365931,3.05205047318612,4.38643533123028,8.68769716088328,"SG",30.9268292682927,0.447497546614328,0.361179361179361,0.780487804878049,1.44954128440367,0.519627085377821,0.538,0.00121,0.02,0.073,0.046,0.098,0.022,0.006,0.092,0.198
"38","Axel Toupane",2.93159609120521,8.20846905537459,1.52442996742671,1.99348534201954,8.91205211726384,0.938110749185668,2.6970684039088,3.63517915309446,1.75895765472313,4.69055374592834,0,0.820846905537459,0.703583061889251,0.703583061889251,1.52442996742671,4.69055374592834,-1.99348534201954,1.4071661237785,3.51791530944625,"SG",14.6190476190476,0.357142857142857,0.325,0.764705882352941,2.5,0.45,0.49,0.00243,0.029,0.085,0.056,0.07,0.012,0.016,0.072,0.12
"39","Ben McLemore",4.86149584487535,11.3434903047091,1.84487534626039,2.56786703601108,13.2382271468144,0.847645429362881,2.84210526315789,3.68975069252078,1.96952908587258,3.49030470914127,0,1.29639889196676,2.46814404432133,0.249307479224377,1.67036011080332,4.61218836565097,0.548476454293629,3.19113573407202,6.73130193905817,"SG",17.609756097561,0.428571428571429,0.362162162162162,0.718446601941748,0.797979797979798,0.502197802197802,0.531,0.00226,0.026,0.085,0.056,0.079,0.017,0.006,0.165,0.176
"40","Beno Udrih",4.3728813559322,10.0677966101695,0.915254237288135,1.01694915254237,10.4237288135593,0.406779661016949,3.25423728813559,3.66101694915254,5.89830508474576,2.59322033898305,0,0.711864406779661,2.69491525423729,0.0508474576271186,0.76271186440678,2.23728813559322,-1.06779661016949,3.61016949152542,7.83050847457627,"PG",11.8,0.434343434343434,0.340909090909091,0.9,2.18867924528302,0.472222222222222,0.496,0.00101,0.013,0.1,0.058,0.249,0.01,0.001,0.204,0.167
"41","Bismack Biyombo",3.10276243093923,5.72817679558011,2.82430939226519,4.49502762430939,9.02983425414365,3.61988950276243,9.40773480662983,13.0276243093923,0.576795580110497,4.47513812154696,0.0397790055248619,0.377900552486188,1.4121546961326,2.64530386740332,0,0.0198895027624309,1.6707182320442,3.10276243093923,5.70828729281768,"C",22.0731707317073,0.541666666666667,0,0.628318584070796,0.408450704225352,0.541666666666667,0.586,0.00785,0.117,0.295,0.208,0.024,0.005,0.061,0.155,0.115
"42","Blake Griffin",9.2536293766012,18.5380017079419,4.33475661827498,5.96413321947054,23.0264730999146,1.56789069171648,7.47053800170794,9.03842869342442,5.22630230572161,2.92058070025619,0,0.860802732707088,2.55166524338173,0.522630230572161,0.184457728437233,0.553373185311699,5.50298889837746,9.06917164816396,17.9846285226302,"PF",14.280487804878,0.499170812603648,0.333333333333333,0.72680412371134,2.04819277108434,0.504145936981758,0.544,0.00322,0.048,0.223,0.137,0.272,0.012,0.011,0.108,0.298
"43","Boban Marjanovic",7.42632612966601,12.3064833005894,6.1532416502947,8.06286836935167,21.0058939096267,5.16306483300589,8.55795677799607,13.721021611002,1.4852652259332,3.81925343811395,0,0.848722986247544,2.05108055009823,1.62671905697446,0,0,3.81925343811395,7.42632612966601,12.3064833005894,"C",6.20731707317073,0.603448275862069,0,0.763157894736842,0.724137931034483,0.603448275862069,0.662,0.00655,0.169,0.262,0.217,0.066,0.012,0.035,0.115,0.228
"44","Bobby Portis",6.07071622846781,14.2302810516772,1.56663644605621,2.15412511332729,14.2302810516772,4.01450589301904,6.98458748866727,10.9990933816863,1.69718948322756,3.26382592928377,0,0.815956482320943,1.76246600181324,0.71804170444243,0.522212148685403,1.69718948322756,-5.80961015412511,5.54850407978241,12.5330915684497,"PF",13.4512195121951,0.426605504587156,0.307692307692308,0.727272727272727,0.962962962962963,0.444954128440367,0.469,0.00151,0.12,0.2,0.161,0.075,0.011,0.015,0.104,0.207
"45","Bojan Bogdanovic",5.51750236518448,12.7549668874172,1.87322611163671,2.24787133396405,15.1050141911069,0.613055818353832,3.72942289498581,4.34247871333964,1.68590350047304,2.02649006622517,0,0.493850520340587,1.95837275307474,0.0851466414380322,2.19678334910123,5.75591296121098,-6.65846736045412,3.32071901608325,6.99905392620624,"SG",25.780487804878,0.432576769025367,0.381656804733728,0.833333333333333,0.860869565217391,0.518691588785047,0.55,0.00176,0.019,0.118,0.068,0.073,0.007,0.002,0.125,0.194
"46","Boris Diaw",5.25813449023861,9.96963123644252,1.45770065075922,1.97830802603037,12.6247288503254,1.50976138828633,4.55531453362256,6.06507592190889,4.58134490238612,2.65509761388286,0,0.676789587852495,2.52494577006508,0.546637744034707,0.650759219088937,1.79609544468547,7.57483731019523,4.60737527114967,8.17353579175705,"C",16.8658536585366,0.527415143603133,0.36231884057971,0.736842105263158,1.81443298969072,0.560052219321149,0.582,0.00198,0.049,0.139,0.096,0.184,0.01,0.012,0.189,0.17
"47","Bradley Beal",7.56231714452896,16.8308952603862,2.8437682855471,3.70743124634289,20.1802223522528,0.863662960795787,3.09654768870685,3.96021064950263,3.41252194265652,2.46459918080749,0,1.13750731421884,2.35927442949093,0.231714452896431,2.21181977764775,5.70860152135752,-0.505558806319485,5.35049736688122,11.1222937390287,"SG",20.8414634146341,0.449311639549437,0.387453874538745,0.767045454545454,1.44642857142857,0.515018773466834,0.547,0.0022,0.026,0.098,0.062,0.156,0.015,0.005,0.113,0.253
"48","Brandan Wright",5.91549295774648,8.7887323943662,2.19718309859155,4.05633802816901,14.0281690140845,2.36619718309859,4.90140845070423,7.26760563380282,1.01408450704225,3.54929577464789,0,0.845070422535211,1.69014084507042,2.53521126760563,0,0,-9.46478873239437,5.91549295774648,8.7887323943662,"PF",2.59756097560976,0.673076923076923,0,0.541666666666667,0.6,0.673076923076923,0.663,0.00462,0.072,0.163,0.116,0.047,0.012,0.066,0.138,0.154
"49","Branden Dawson",2.57142857142857,6.42857142857143,1.28571428571429,1.28571428571429,6.42857142857143,2.57142857142857,2.57142857142857,5.14285714285714,0,2.57142857142857,0,0,0,1.28571428571429,0,0,-19.2857142857143,2.57142857142857,6.42857142857143,"SF",0.341463414634146,0.4,0,1,0,0.4,0.46,0.002,0.076,0.074,0.075,0,0,0.027,0,0.085
"50","Brandon Bass",4.66766020864382,8.50372578241431,3.3532041728763,3.97019374068554,12.6885245901639,2.78986587183309,4.85543964232489,7.64530551415797,1.98509687034277,3.3532041728763,0.0268256333830104,0.885245901639344,1.12667660208644,1.47540983606557,0,0.0536512667660209,-0.590163934426229,4.66766020864382,8.45007451564829,"PF",16.3658536585366,0.548895899053628,0,0.844594594594595,1.76190476190476,0.548895899053628,0.619,0.00467,0.081,0.15,0.114,0.092,0.012,0.032,0.099,0.139
"51","Brandon Jennings",4.63981588032221,12.5937859608746,2.36133486766398,3.2313003452244,13.7537399309551,0.66283084004603,3.31415420023015,3.97698504027618,7.04257767548907,2.36133486766398,0,1.20138089758343,2.36133486766398,0.289988492520138,2.11277330264672,6.42117376294592,0.497123130034522,2.52704257767549,6.17261219792865,"PG",10.3452380952381,0.368421052631579,0.329032258064516,0.730769230769231,2.98245614035088,0.452302631578947,0.491,0.00257,0.02,0.104,0.061,0.292,0.017,0.007,0.144,0.2
"52","Brandon Knight",7.13461538461539,17.2115384615385,3,3.51923076923077,19.5769230769231,0.692307692307692,3.19230769230769,3.88461538461539,5.05769230769231,2.38461538461539,0,1.17307692307692,3.40384615384615,0.384615384615385,2.30769230769231,6.75,-4.03846153846154,4.82692307692308,10.4615384615385,"PG",22.8292682926829,0.414525139664804,0.341880341880342,0.852459016393442,1.48587570621469,0.481564245810056,0.522,0.00204,0.02,0.099,0.059,0.244,0.016,0.009,0.154,0.262
"53","Brandon Rush",3.80571428571429,8.91428571428571,0.617142857142857,0.96,10.4571428571429,0.72,5.48571428571429,6.20571428571429,1.95428571428571,1.95428571428571,0.0342857142857143,0.685714285714286,1.13142857142857,0.788571428571429,2.22857142857143,5.38285714285714,-1.06285714285714,1.57714285714286,3.53142857142857,"SG",12.8048780487805,0.426923076923077,0.414012738853503,0.642857142857143,1.72727272727273,0.551923076923077,0.56,0.00108,0.023,0.154,0.092,0.07,0.009,0.016,0.108,0.125
